id;year;title;city;notes;description
1;1978;"Galleria ""La Gatta""";"Colleferro, ROMA";"";""
2;1979;Centro Letterario del Lazio;"Palestrina, ROMA";"";""
3;1980;Centro Letterario del Lazio;ROMA;"";""
4;1983;"Associazione Culturale ""Praxis Artistica""";"Colleferro, ROMA";"";""
5;1985;Personale;"Valmontone, ROMA";"";""
6;1995;"Ristorante ""La Conca""";"Serrone, FROSINONE";"";""
7;1994;Personale;"Altipiani di Arcinazzo, FROSINONE";"";""
8;1997;"Caffè ""Giardino""";"Colleferro, ROMA";"";""
9;1997;"Bar ""Mozart""";"Segni, ROMA";"";""
10;1998;"Caffè ""Giardino""";"Colleferro, ROMA";"";""
11;1998;"Ristorante ""La Pace""";"Segni, ROMA";"";""
12;1999;"Ristorante ""Hupter House""";ROMA;"";""
13;1999;"Ristorante ""Muraccio di S. Antonio""";"Colleferro, ROMA";"";""
14;1999;Galleria Comunale;FROSINONE;"";""
15;2001;"""Alternativa 94""";ROMA;Via Margutta;""
16;2001;"""Alternativa 94""";ROMA;Ponte Milvio;""
17;2002;Casa Barnekov;"Anagni, FROSINONE";"";""
18;2002;"""Alternativa 94""";ROMA;Via Margutta;""
19;2002;"""Alternativa 94""";ROMA;Ponte Milvio;""
20;2002;"""Alternativa 94""";ROMA;Telethon;""
21;2003;"""Alternativa 94""";ROMA;Telethon;""
22;2003;"""Cento Pittori""";ROMA;Via Margutta;""
23;2003;"""Alternativa 94""";ROMA;Via Margutta;""
24;2003;"""Cento Pittori""";ROMA;Talenti;""
25;2003;"""Alternativa 94""";"Tuscania, VITERBO";"";""
26;2003;"""Alternativa 94""";"Cerenova Costantica, ROMA";"";""
27;2003;"""Alternativa 94""";ROMA;Ponte Milvio;""
28;2004;"""Alternativa 94""";ROMA;Ponte Milvio;""
29;2004;"""Alternativa 94""";ROMA;Telethon;""
30;2004;"""Alternativa 94""";ROMA;Via Margutta;""
31;2004;"""Cento Pittori""";ROMA;P.za Mignanelli;""
32;2005;"""Alternativa 94""";ROMA;Ponte Milvio (tutti i mesi);""
33;2005;"""Alternativa 94""";ROMA;Via Margutta;""
34;2005;"""Re di Roma""";ROMA;P.za Risorgimento (Aprile);""
35;2005;"""Re di Roma""";ROMA;P.za della Repubblica (Ottobre);""
36;2005;Villa Capozzi;"Paliano, FROSINONE";"""La Selva""";""
37;2006;"Studio d'arte Patù";"Anagni, FROSINONE";"";""
38;2006;Palazzo Baronale di Gavignano;"Gavignano, ROMA";"";""
39;2007;Slongia Irish Pub;"Fiuggi, FROSINONE";"";""
40;2002;"""Gilda International""";ROMA;"";""
41;2005;"""Alternativa 94""";ROMA;Telethon (Dicembre);""
42;2006;"""Alternativa 94""";ROMA;Ponte Milvio (tutti i mesi);""
43;2006;"""Alternativa 94""";"Colleferro, ROMA";P.za Italia (Maggio);""
44;2006;"""Cento Pittori""";"Fiuggi, FROSINONE";Fonte di Fiuggi (Luglio);""
45;2006;"""Cento Pittori""";ROMA;P.za del Popolo (Dicembre);""
46;2006;"""Alternativa 94""";ROMA;Telethon (Dicembre);""
48;2007;"""Alternativa 94""";ROMA;P.za Capranica (Maggio);""
49;2007;"""Alternativa 94""";"Colleferro, ROMA";(Giugno);""
50;2007;"""Cento Pittori""";"Fiuggi, FROSINONE";Fonte di Fiuggi (Luglio);""
51;2007;"""Cento Pittori""";"Guidonia, ROMA";(Settembre);""
52;2007;"""Alternativa 94""";ROMA;Ponte Milvio (Ottobre);""
53;2006;Palazzo Doria Pamphilj;Valmontone;"";""
54;2008;Alternativa94;Roma;"";Pza Capranica
55;2008;Colore e luce;Colleferro;"";Sala Comunale Vladilirio Moffa
56;2008;Artre;Cervia;Settembre;""
57;2009;Alternativa94;Roma;"";""
58;2009;Artre;Cervia;Settembre;""
60;2009;Alternativa94;Populonia;Luglio;""
61;2009;Caffè Borghese;Roma;Giugno;""
62;2009;Caffè Giardino;Colleferro;"";""
