id;location_id;comment
1;16;Alcune opere
2;16;Alcune opere
3;16;"Berardicurti (pittrice), Anetrini (pittrice), Alessandrini (pittrice), R. Gold (organizzatore), De Magistris (pittore), Belardo (pittrice), De Rosa (io)"
4;16;"Tirelli (pittore), Sacerdote (assessore cultura, XX circ.), Berardicurti (pittrice), De Rosa (io), Alessandrini (pittrice)"
5;16;"Tirelli (pittore), Berardicurti (pittrice), Masconni (pittore), Sacerdote (assessore cultura, XX circ.), Anetrini (pittrice), De Rosa (io)"
6;16;Alcune opere
7;16;Una foto insieme a Don Lurio
8;17;""
9;17;""
10;17;""
11;17;""
12;17;""
13;17;""
14;17;""
15;17;""
16;17;""
17;17;""
18;17;""
19;17;""
20;17;""
21;17;""
22;17;""
23;17;""
24;17;""
25;17;""
26;17;""
27;17;""
28;17;""
29;17;""
30;17;""
31;17;""
32;17;""
33;17;""
34;17;""
35;17;""
36;21;Opere donate dagli artisti alla BNL per beneficienza
37;22;""
38;22;Lo stand
39;22;"Un momento con il presidente dei ""Cento Pittori"" di Via Margutta, Alberto Vespasiani"
40;22;"Un momento con il presidente dei ""Cento Pittori"" di Via Margutta, Alberto Vespasiani"
41;34;"Esposizione a P.za Risorgimento 19/25 Marzo 2005 con l'associazione ""Art Studio Tre"" di Roma"
42;34;"Esposizione a P.za Risorgimento 19/25 Marzo 2005 con l'associazione ""Art Studio Tre"" di Roma"
43;35;Stand a P.za della Repubblica a Roma
44;35;Alcune delle opere esposte
45;35;Il presidente Arch. Nico Parziale con il ministro Garavaglia
46;36;""
47;36;""
48;36;""
49;36;""
50;36;""
51;36;""
52;36;""
53;36;""
54;36;""
55;36;""
56;15;"Alcuni momenti del lavoro svolto nelle esposizioni ""Work in progress"" di ""Alternativa 94"" in Via Margutta a Roma"
57;15;"Alcuni momenti del lavoro svolto nelle esposizioni ""Work in progress"" di ""Alternativa 94"" in Via Margutta a Roma"
58;15;"Alcuni momenti del lavoro svolto nelle esposizioni ""Work in progress"" di ""Alternativa 94"" in Via Margutta a Roma"
59;15;Via Margutta
60;15;Le opere
61;15;Leonardo De Magistris
62;15;Al lavoro
63;15;Al lavoro
64;20;"Elenco artisti presenti dell'associazione ""Alternativa 94"""
65;20;Il pittore assieme a Martufello per Telethon
66;21;Opere donate dagli artisti alla BNL per beneficienza
67;21;Opere donate dagli artisti alla BNL per beneficienza
68;29;"Manifestazioni artistiche, spettacoli, sfilate di moda etc."
69;29;"Manifestazioni artistiche, spettacoli, sfilate di moda etc."
70;29;"Manifestazioni artistiche, spettacoli, sfilate di moda etc."
71;29;"Manifestazioni artistiche, spettacoli, sfilate di moda etc."
72;29;"Manifestazioni artistiche, spettacoli, sfilate di moda etc."
73;29;"Manifestazioni artistiche, spettacoli, sfilate di moda etc."
74;17;""
75;37;""
76;37;""
77;37;""
78;38;""
79;38;""
80;38;""
81;38;""
82;38;""
83;38;""
91;39;""
92;39;""
93;39;""
94;49;Momenti della giornata dei pittori presenti alla manifestazione
95;49;Inaugurazione della collettiva con l'assessore alla cultura G. Mazzoli ed il presidente del consiglio comunale R. Paniccia 
96;49;"Il pittore De Rosa alle spalle del maestro L. De Magistris presidente dell' Associazione Culturale ""Alternativa 94"""
97;49;Momenti della giornata dei pittori presenti alla manifestazione
98;49;La premiazione del pittore Fasoli da parte dell'assessore G. Mazzoli
99;49;""
100;49;""
101;49;""
103;43;B.Berardicurti e S.Panelli mentre creano le loro opere.
104;43;""
105;43;""
106;43;""
107;43;""
108;43;"Un momento di convivialità con gli artisti preenti di ""Alternativa 94""."
109;43;""
110;43;""
111;53;""
112;53;""
113;53;""
