id,section_id,year,technique_id,width,height,available,price,last_modified,lang,id,title,lang,id,name
1,11,1994,3,60,80,1,800,2008-01-16 11:19:23,it,1,Eva in un interno,it,11,Figure
2,11,1998,3,92,62,1,700,2008-01-16 11:19:23,it,2,Il velo,it,11,Figure
3,11,2001,3,80,60,1,930,2008-01-16 11:19:23,it,3,Eva che dorme,it,11,Figure
4,11,1999,3,80,80,1,1300,2008-01-16 11:19:23,it,4,Eva raccolta,it,11,Figure
5,11,2003,3,70,70,1,750,2008-01-16 11:19:23,it,5,Roberta 05,it,11,Figure
6,11,1998,3,150,100,1,3200,2008-01-16 11:19:23,it,6,Eva distesa,it,11,Figure
7,11,1998,3,80,80,1,1300,2008-01-16 11:19:23,it,7,Eva riposa,it,11,Figure
8,13,2004,3,45,75,"0",,2008-01-16 11:19:23,it,8,Casa a Maiottini,it,13,Paesaggi
9,11,2001,3,75,100,1,1400,2008-01-22 17:28:44,it,9,Eva sul sofà,it,11,Figure
10,11,2001,3,70,100,1,930,2008-01-16 11:19:23,it,10,La bionda,it,11,Figure
11,19,1972,3,40,50,1,300,2008-01-16 11:19:23,it,11,Guitar,it,19,Informali
12,15,2002,10,20,25,"0",,2008-01-16 11:19:23,it,12,Il lampione,it,15,Scorci
13,19,1972,3,40,50,1,300,2008-01-16 11:19:23,it,13,Family,it,19,Informali
14,19,1972,3,40,50,1,300,2008-01-16 11:19:23,it,14,Butterfly,it,19,Informali
15,11,1978,4,50,70,1,516,2008-01-16 11:19:23,it,15,Donna in spiaggia,it,11,Figure
16,11,2006,3,90,80,1,1000,2008-01-16 11:19:23,it,16,Michaela,it,11,Figure
17,13,2005,3,60,30,"0",,2008-01-16 11:19:23,it,17,Girasoli al Vivaro,it,13,Paesaggi
18,19,1972,3,90,50,1,400,2008-01-16 11:19:23,it,18,Caos,it,19,Informali
19,11,1982,3,60,80,1,900,2008-01-16 11:19:23,it,19,Dietro la finestra,it,11,Figure
20,11,2002,3,30,40,1,400,2008-01-16 11:19:23,it,20,Eva nel bosco,it,11,Figure
21,11,2002,3,20,40,1,350,2008-01-16 11:19:23,it,21,Donna,it,11,Figure
22,13,1983,3,60,80,1,700,2008-01-16 11:19:23,it,22,La forsizia,it,13,Paesaggi
23,11,2007,6,30,40,1,300,2008-01-16 11:19:23,it,23,La modella,it,11,Figure
24,15,2006,6,50,70,"0",,2008-01-16 11:19:23,it,24,I gerani,it,15,Scorci
25,13,1999,3,65,45,1,400,2008-01-16 11:19:23,it,25,Le spighe,it,13,Paesaggi
26,13,1999,3,70,70,1,800,2008-01-16 11:19:23,it,26,La forsizia,it,13,Paesaggi
27,15,2007,10,15,35,"0",,2008-01-16 11:19:23,it,27,La finestra,it,15,Scorci
28,15,2007,10,20,17,"0",,2008-01-16 11:19:23,it,28,Il portone,it,15,Scorci
29,13,1980,3,60,60,1,600,2008-01-16 11:19:23,it,29,Il filo spinato,it,13,Paesaggi
30,13,2007,6,23,30,1,150,2008-01-16 11:19:23,it,30,Luce nel bosco,it,13,Paesaggi
31,13,2007,10,9,27,"0",,2008-01-22 16:03:26,it,31,Il boschetto,it,13,Paesaggi
32,13,2002,10,30,40,1,300,2008-01-16 11:19:23,it,32,Val D'orcia,it,13,Paesaggi
33,13,2007,6,18,28,"0",,2008-01-16 11:19:23,it,33,Autunno,it,13,Paesaggi
34,13,2001,3,30,20,1,150,2008-01-22 16:39:26,it,34,Il bosco,it,13,Paesaggi
35,13,2007,10,18,19,"0",,2008-01-22 16:39:24,it,35,Sottobosco,it,13,Paesaggi
36,14,1993,8,45,30,1,150,2008-01-16 11:19:23,it,36,Vaso alla finestra,it,14,Fiori
37,14,1996,8,35,55,1,250,2008-01-16 11:19:23,it,37,Vaso con fiori,it,14,Fiori
38,14,1995,8,35,55,1,250,2008-01-16 11:19:23,it,38,Iris,it,14,Fiori
39,14,2002,3,20,30,"0",,2008-01-16 13:39:58,it,39,Vaso grigio,it,14,Fiori
40,13,2005,3,30,40,"0",,2008-01-16 11:19:23,it,40,Cardi,it,13,Paesaggi
41,14,2001,3,35,55,1,300,2008-01-16 11:19:23,it,41,Glicini,it,14,Fiori
42,14,2002,3,30,40,1,300,2008-01-16 11:19:23,it,42,Girasoli,it,14,Fiori
43,11,2007,6,30,30,"0",,2008-01-16 11:19:23,it,43,Pudore,it,11,Figure
44,14,2002,3,40,30,"0",,2008-01-16 11:19:23,it,44,Girasoli,it,14,Fiori
45,1,2002,3,75,110,1,700,2008-01-16 11:19:23,it,45,La sfida,it,1,Cavalli
46,1,2002,3,150,75,1,1600,2008-01-22 17:31:02,it,46,Il branco 2,it,1,Cavalli
47,15,1994,8,30,55,1,300,2008-01-16 11:19:23,it,47,Arcinazzo Romano,it,15,Scorci
48,15,1994,8,35,55,1,300,2008-01-16 11:19:23,it,48,Terracina,it,15,Scorci
49,15,1984,3,60,80,1,600,2008-01-16 11:19:23,it,49,Giulianello,it,15,Scorci
50,15,1994,8,55,30,1,300,2008-01-16 11:19:23,it,50,S. Felice Circeo,it,15,Scorci
51,15,1994,8,35,55,1,300,2008-01-16 11:19:23,it,51,Creta,it,15,Scorci
52,15,1972,3,50,70,1,500,2008-01-16 11:19:23,it,52,Valmontone,it,15,Scorci
53,15,1985,3,70,80,1,750,2008-01-16 11:19:23,it,53,Il panno rosso,it,15,Scorci
54,11,2006,3,100,70,1,1000,2008-01-16 11:19:23,it,54,Allegoria della primavera,it,11,Figure
55,15,2002,3,45,20,"0",,2008-01-16 11:19:23,it,55,Montelanico,it,15,Scorci
56,15,2002,3,100,50,"0",,2008-01-16 11:19:23,it,56,Ponte Milvio,it,15,Scorci
57,16,1989,3,70,50,1,516,2008-01-16 11:19:23,it,57,La frutta,it,16,Nature morte
58,16,2002,3,20,30,1,130,2008-01-16 11:19:23,it,58,Natura morta,it,16,Nature morte
59,11,2007,3,38,52,"0",,2008-01-16 11:19:23,it,59,Le mani 2,it,11,Figure
60,17,2002,3,55,33,"0",,2008-01-16 11:19:23,it,60,Marina,it,17,Marine
61,11,2007,3,48,50,"0",,2008-01-16 11:19:23,it,61,Le mani 1,it,11,Figure
62,17,2002,3,70,50,1,380,2008-01-16 11:19:23,it,62,Mare blu,it,17,Marine
63,11,2007,10,22,38,1,250,2008-01-16 11:19:23,it,63,La peruviana,it,11,Figure
64,13,2004,3,55,86,"0",,2008-01-16 11:19:23,it,64,L'albero della Mola,it,13,Paesaggi
65,13,2007,6,20,32,1,130,2008-01-16 11:19:23,it,65,Tramonto sul lago,it,13,Paesaggi
66,13,2003,3,60,30,1,400,2008-01-16 11:19:23,it,66,Le balle di fieno,it,13,Paesaggi
67,13,2004,3,120,60,1,1000,2008-01-16 11:19:23,it,67,Cielo e fiori,it,13,Paesaggi
68,13,2007,10,13,17,"0",,2008-01-22 16:36:21,it,68,Il vento,it,13,Paesaggi
69,11,2003,3,55,86,1,800,2008-01-16 11:19:23,it,69,L'orientale,it,11,Figure
70,13,2004,3,70,35,1,400,2008-01-16 11:19:23,it,70,Campagna di Maiottini,it,13,Paesaggi
71,13,2007,10,20,40,"0",,2008-01-16 11:19:23,it,71,L'albero,it,13,Paesaggi
72,11,1998,3,150,100,1,3000,2008-01-16 11:19:23,it,72,Eva dormiente,it,11,Figure
73,11,1999,3,100,70,1,1400,2008-01-16 11:19:23,it,73,Eva in relax,it,11,Figure
74,11,2005,3,90,80,1,1000,2008-01-16 11:19:23,it,74,Michaela 1,it,11,Figure
75,11,2003,9,60,80,1,500,2008-01-16 11:19:23,it,75,Eva sul letto,it,11,Figure
76,11,1999,3,110,85,1,1700,2008-01-16 11:19:23,it,76,Eva sul letto 05,it,11,Figure
77,11,2002,3,27,45,"0",,2008-01-16 11:19:23,it,77,Ombelico,it,11,Figure
